label,text
ham,woh kaha pyaar me
ham,said bhalobasi
ham,"india is gorib ,bharat is garib"
ham,"Rchrg of MRP Rs 130.0 on 12-Apr-16 successful.Tlktime rcvd Rs 130.0,STax Rs 0.0,AccessFee Rs 0.0,New Bal Rs 131.85.TransID RB16463841466.Dial *111# for a/c info."
spam,Recharge with Rs16 and get  Local Mob calls @1.2p/2sec - 30 days.Dial *121*7# to activate
spam,Mobile Dhamaka....! WIN SAMSUNG GALAXY S7 Mobile or get your 100% Money Back in shopping offers. To get dial *111*1*2# (Toll Free)
ham,"Rchrg of MRP Rs 44.0 on 16-Apr-16 successful.Tlktime rcvd Rs 3.11,STax Rs 5.57,AccessFee Rs 35.32,New Bal Rs 108.22.TransID RB16467521531.Dial *111# for a/c info."
ham,"Rchrg of MRP Rs 175.0 on 16-Apr-16 successful.Tlktime rcvd Rs 0.77,STax Rs 22.16,AccessFee Rs 152.07,New Bal Rs 108.22.TransID RB16467524936.Dial *111# for a/c info."
ham,STOP
ham,"Hello, we have received your request for deactivation of Juiceup. Your request will be processed within 30mins."
spam,"Thanks for Installing Databack app. Relax, no action required from you, verification happens automatically. Code 5880145"
spam,"Welcome to TaskBucks, your a/c verification code is: 643933"
spam,"Well Done! You got Rs3.0, your install was confirmed by ViralShots. Install more & Earn more. Open App Taskbucks.co"
spam,"Dear TaskBucks user,Invite your friends to try TaskBucks & get Rs40 Free Recharge Start Inviting Now.Open App TaskBucks.co"
spam,"Dear TaskBucks user,
Get upto Rs213 PayTm cash today, 23 new tasks added.
Open app TaskBucks.co"
spam,Thank you for visiting Yatra.com! We have your search saved. Click http://bit.ly/24eWs0i and get upto Rs. 1500 cashback in your Yatra wallet.
spam,Thank you for visiting Yatra.com! We have your search saved. Click http://bit.ly/24eWs0i and get upto Rs. 1500 cashback in your Yatra wallet.
spam,"Dear User, Pockets by ICICI Bank can be activated only from registered mobile. For Dual SIM phone,pls ensure the default SIM is the one registered with Pockets."
spam,Win 4N/5D Thailand Holiday Package or Get your 100% Money Back. Just Dial *111*1*2# for Free offer details.
ham,"Rchrg of MRP Rs 50.0 on 2-May-16 successful.Tlktime rcvd Rs 40.67,STax Rs 6.33,AccessFee Rs 3.0,New Bal Rs 49.41.TransID RB16482925867.Dial *111# for a/c info."
spam,"Nice! Rs6.0 added. Your install was confirmed by Myntra. To earn more, view task screen for details. Open App Taskbucks.co"
spam,"Woohoo!! You have successfully recharged for Rs10 from TaskBucks. Awesome, keep earning more bucks on TaskBucks. Open App TaskBucks.co"
spam,Congratulations on your 1st free recharge from TaskBucks. Keep using TaskBucks app for more free recharges. Open App now TaskBucks.Co
spam,Plan your Summer Holiday to Thailand. Just Dial *111*1*2# (Toll Free) and Get your FREE Package. Hurry Offer valid for limited time period.
spam,"Stay awesome @ OYO in Chennai! Our hotels starting INR 999 with AC, Free breakfast and WIFI. Book now - 09313931393 or www.oyorooms.com .Talk soon!"
spam,"Book Best Hotels in cheapest deals @OYO Rooms. AC Rooms with TV, Free WiFi & B'fast. Book 01246677816 or visit bit.ly/1Os1zwe Get app bit.ly/1LE2zNS"
spam,Thanks for signing up! Verify your new account by entering 8440 in the app.
spam,You’re almost there! Enter 5362 to confirm your account.
spam,Here is your verification code: 2015. Enter in the app to confirm your account.
ham,"Train e aachhi, tai sunte parini, aamra duto bag niyechhi, dutoyi school bags, aami bolchhilam je, tor uber er offer ta jeta tui share,"
ham,"Seyi offer ta accept kora jachhena, because, i am already a registered user, . . . . and way 2 SMS ta niye ne, darun."
spam,Win 4N/5D Thailand Holiday Package or Get your 100% Money Back. Just Dial *111*1*2# for Free offer details
ham,Kemon achis re bondhu Sent Via Way2 app. Download http://bit.ly/WAY22
ham,"To deactivate, reply with Service Number:
1. Desitube"
ham,Invalid Request. Please reply with STOP to deactivate any existing service
ham,Welcome to Tata Docomo Wi-Fi. Pls keep WELCOME page open to logout. Alternatively use URL https://hs.tatadocomo.com/ttsl .You can now enjoy Premium Wi-Fi at all times with Buy Plans on Welcome page.
spam,"OYO Hotels in your town. AC Rooms with TV, Free WiFi, B'fast & Modern amenities. Book Now 01246677820 or visit bit.ly/1Os1zwe. Get app bit.ly/1LE2zNS"
ham,Ki re kothai pouchali.... Tor phn lag6na.... Phn koris..
ham,Oieta hoeche ' DICHROIC '.... 2 tablets nea neo...
spam,Dial *111*1*2# (Toll Free) to get your FREE Package 5D/4N Thailand Holiday Package or Get your 100% Money Back.
spam,Get Rs. 100 OFF on your first ride booked on the OLA app. Open http://bit.ly/1olacabs & use code BOOK100. TCA
spam,"Perfect Weekend Getaway- Party at FabHotel Beach Resort in Goa. 3D/ 2N all incl. Hotel packages from Rs. 1749 per person- Limited period offer! Call 01244605106,"
spam,Perfect Weekend Getaway- Party at FabHotel Beach Resort in Goa. 3D/ 2N all incl. Hotel packages from Rs. 1749 per person- Limited period offer! Call 01244554211
spam,Dial *111*1*2# (Toll Free) to get your FREE Package 5D/4N Thailand Holiday Package or Get your 100% Money Back.
ham,OTP for verification of your DigiLocker account is 775488 and is valid for 10 minutes.
ham,"Rchrg of MRP Rs 50.0 on 24-May-16 successful.Tlktime rcvd Rs 40.67,STax Rs 6.33,AccessFee Rs 3.0,New Bal Rs 50.27.TransID RM16271232040.Dial *111# for a/c info."
spam,Congrats! Now you stand a chance to win the Grand Prize! Assured Paytm cash can be redeemed once at www.paytm.com/pepsi. T&C apply visit: www.pepsi.in
spam,Congrats! Now you stand a chance to win the Grand Prize! Assured Paytm cash can be redeemed once at www.paytm.com/pepsi. T&C apply visit: www.pepsi.in
ham,SRM University - Pls update your 12th marks in http://evarsity.srmuniv.ac.in/ApplicantLogin/ using credentials - Application Number and DOB as password - Director Admissions.
spam,FabHotels - Treat your family to a weekend Jaipur retreat! Hotel packages (3D/ 2N) from Rs. 999/- person only (Incl. B/f & Wi-Fi). Call now & Book: 0124-4554211
